code|name
SE419|Cyber-Forensics
SE421|Robotics
SE423|Wireless and Mobile Computing
SE425|Intellectual Property Rights & Cyber Laws
SE427|Software Project Management
SE429|Data Warehouse & Data Mining
SE406|Advances in Software Engineering
SE408|Information & Network Security
SE412|Semantic Web and Web Mining
SE414|Cloud Computing
SE416|Big Data Analytics
SE418|Data Management and Ethics
